version,distribution,n,avg_time,std_dev
deterministic,random,1000,0.0007363199954852461,5.628732307573938e-05
randomized,random,1000,0.0008743999875150621,5.8772831657084513e-05
deterministic,sorted,1000,0.025957369996467604,0.0007600475219427337
randomized,sorted,1000,0.0007709400146268308,3.5466037999541965e-05
deterministic,reverse,1000,0.019064339995384216,0.0007841719228646383
randomized,reverse,1000,0.0007598099939059467,3.20542502225427e-05
deterministic,random,5000,0.004326979990582913,0.0006675589466097535
randomized,random,5000,0.0055716799921356145,0.0004218077066643138
deterministic,sorted,5000,0.8238365299883299,0.0770125345842709
randomized,sorted,5000,0.005697319994214922,0.00040402976697765573
deterministic,reverse,5000,0.6141708199924324,0.0551476671189482
randomized,reverse,5000,0.0057131600042339414,0.0005882401385734784
deterministic,random,10000,0.011162839992903174,0.0009585826081173421
randomized,random,10000,0.013454299984732642,0.0010654615790119885
deterministic,sorted,10000,3.3754371499933766,0.11744003625633057
randomized,sorted,10000,0.012409589998424054,0.0022245821343780297
deterministic,reverse,10000,2.29302580000367,0.013752306997274394
randomized,reverse,10000,0.011549640004523099,0.0003302668942045299
